CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,H6M_Facial Coverings
United States,USA,Alaska,US_AK,STATE_TOTAL,20200723,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200724,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200725,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200726,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200727,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200728,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200729,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200730,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200731,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200801,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200802,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200803,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200804,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200805,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200806,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200807,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200808,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200809,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200810,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200811,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200812,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200813,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200814,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200815,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200816,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200817,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200818,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200819,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200820,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200821,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200822,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200823,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200824,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200825,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200826,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200827,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200828,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200829,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200830,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200831,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200901,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200902,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200903,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200904,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200905,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200906,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200907,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200908,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200909,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200910,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200911,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200912,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200913,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200914,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200915,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200916,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200917,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200918,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200919,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200920,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200921,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200922,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200923,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200924,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200925,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200926,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200927,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200928,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200929,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200930,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201001,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201002,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201003,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201004,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201005,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201006,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201007,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201008,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201009,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201010,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201011,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201012,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201013,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201014,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201015,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201016,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201017,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201018,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201019,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201020,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201021,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201022,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201023,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201024,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201025,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201026,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201027,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201028,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201029,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201030,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201031,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201101,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201102,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201103,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201104,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201105,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201106,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201107,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201108,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201109,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201110,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201111,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201112,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201113,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201114,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201115,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201116,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201117,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201118,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201119,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201120,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201121,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201122,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201123,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201124,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201125,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201126,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201127,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201128,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201129,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201130,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201201,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201202,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201203,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201204,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201205,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20201206,3
